locus_id,locus_name,locus_type,hazard_level,hazard_grade,dwell_category,confined_space,height_risk,minimum_crew,work_permit_required
GW-320,fab_5F_X27Y12,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-191,fab_1F_X15Y12,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-187,fab_1F_X24Y12,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-336,fab_6F_X10Y15,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-234,fab_1F_X08Y09_휴게실_F02_1층1번,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-299,fab_4F_X26Y10,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-286,fab_1F_X10Y09,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-292,fab_1F_X03Y12,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-368,fab_7F_ X29Y07_호이스트_철거,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-350,fab_5F_X15Y12,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-366,fab_5F_ X29Y09_클라이머,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-342,fab_5F_X20Y09,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-326,fab_2F_X19Y04,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-296,fab_1F_X07Y11,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-335,fab_6F_X29Y07_호이스트,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-238,fab_1F_X08Y09_휴게실_F02_1층2번,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-347,fab_6F_X19Y04,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-319,fab_3F_X20Y14,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-330,fab_3F_X06Y16,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-188,fab_1F_X27Y09,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-337,fab_6F_X14Y16,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-341,fab_6F_X24Y14,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-362,fab_2F_ X29Y09_클라이머,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-316,fab_2F_X11Y04,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
