locus_id,locus_name,locus_type,token,building,floor,zone,scale,dwell_category,sward_ids,sward_count,function,hazard_level,hazard_grade,tags,description,congestion_prone,sector_id,gateway_no,gateway_name,building_no,floor_no,location_x,location_y,locus_version
GW-289,fab_4F_X20Y05,WORK_AREA,work_area,FAB,4F,,POINT,SHORT_STAY,GW-289,1,WORK,medium,2.0,,,False,Y1_SKHynix,289,fab_4F_X20Y05,2.0,7.0,228.0,37.0,v2
GW-349,fab_5F_X15Y09,WORK_AREA,work_area,FAB,5F,,POINT,SHORT_STAY,GW-349,1,WORK,medium,2.0,,,False,Y1_SKHynix,349,fab_5F_X15Y09,2.0,22.0,168.0,97.0,v2
GW-338,fab_6F_X14Y02,WORK_AREA,work_area,FAB,6F,,POINT,SHORT_STAY,GW-338,1,WORK,medium,2.0,,,False,Y1_SKHynix,338,fab_6F_X14Y02,2.0,23.0,156.0,7.0,v2
GW-301,fab_1F_X15Y06,WORK_AREA,work_area,FAB,1F,,POINT,SHORT_STAY,GW-301,1,WORK,medium,2.0,,,False,Y1_SKHynix,301,fab_1F_X15Y06,2.0,4.0,169.0,51.0,v2
GW-317,fab_3F_X16Y14,WORK_AREA,work_area,FAB,3F,,POINT,SHORT_STAY,GW-317,1,WORK,medium,2.0,,,False,Y1_SKHynix,317,fab_3F_X16Y14,2.0,21.0,181.0,162.0,v2
GW-272,fab_1F_X11Y12,WORK_AREA,work_area,FAB,1F,,POINT,SHORT_STAY,GW-272,1,WORK,medium,2.0,,,False,Y1_SKHynix,272,fab_1F_X11Y12,2.0,4.0,122.0,140.0,v2
GW-339,fab_5F_X22Y06,WORK_AREA,work_area,FAB,5F,,POINT,SHORT_STAY,GW-339,1,WORK,medium,2.0,,,False,Y1_SKHynix,339,fab_5F_X22Y06,2.0,22.0,251.0,52.0,v2
GW-273,fab_1F_X03Y09,WORK_AREA,work_area,FAB,1F,,POINT,SHORT_STAY,GW-273,1,WORK,medium,2.0,,,False,Y1_SKHynix,273,fab_1F_X03Y09,2.0,4.0,27.0,97.0,v2
GW-297,fab_4F_X14Y10,WORK_AREA,work_area,FAB,4F,,POINT,SHORT_STAY,GW-297,1,WORK,medium,2.0,,,False,Y1_SKHynix,297,fab_4F_X14Y10,2.0,7.0,157.0,112.0,v2
GW-346,fab_3F_X29Y07_호이스트,WORK_AREA,work_area,FAB,3F,,POINT,SHORT_STAY,GW-346,1,WORK,medium,2.0,,,False,Y1_SKHynix,346,fab_3F_X29Y07_호이스트,2.0,21.0,330.0,66.0,v2
GW-367,fab_6F_ X29Y09_클라이머,WORK_AREA,work_area,FAB,6F,,POINT,SHORT_STAY,GW-367,1,WORK,medium,2.0,,,False,Y1_SKHynix,367,fab_6F_ X29Y09_클라이머,2.0,23.0,329.0,98.0,v2
GW-275,fab_1F_X07Y06,WORK_AREA,work_area,FAB,1F,,POINT,SHORT_STAY,GW-275,1,WORK,medium,2.0,,,False,Y1_SKHynix,275,fab_1F_X07Y06,2.0,4.0,74.0,51.0,v2
